,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,-0.10000000000000009,0.0,-0.06000000000000005,-0.10000000000000009,0.0,0.020000000000000018
AllField,0.10000000000000009,0.0,0.10000000000000009,0.040000000000000036,0.0,0.10000000000000009,0.1200000000000001
Baseline,-0.0,-0.10000000000000009,0.0,-0.06000000000000005,-0.10000000000000009,0.0,0.020000000000000018
ExpId,0.06000000000000005,-0.040000000000000036,0.06000000000000005,0.0,-0.040000000000000036,0.06000000000000005,0.08000000000000007
ExpIdSnippets,0.10000000000000009,-0.0,0.10000000000000009,0.040000000000000036,0.0,0.10000000000000009,0.1200000000000001
Expl,-0.0,-0.10000000000000009,-0.0,-0.06000000000000005,-0.10000000000000009,0.0,0.020000000000000018
IdSnippets,-0.020000000000000018,-0.1200000000000001,-0.020000000000000018,-0.08000000000000007,-0.1200000000000001,-0.020000000000000018,0.0
