,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,-0.06666666666666665,0.033333333333333215,-0.040000000000000036,-0.08333333333333326,0.020000000000000018,0.033333333333333215
AllField,0.06666666666666665,0.0,0.10000000000000009,0.02666666666666684,-0.016666666666666607,0.08666666666666667,0.10000000000000009
Baseline,-0.033333333333333215,-0.10000000000000009,0.0,-0.07333333333333336,-0.1166666666666667,-0.013333333333333308,0.0
ExpId,0.040000000000000036,-0.02666666666666684,0.07333333333333336,0.0,-0.043333333333333335,0.06000000000000005,0.07333333333333325
ExpIdSnippets,0.08333333333333326,0.016666666666666607,0.1166666666666667,0.043333333333333335,0.0,0.10333333333333328,0.1166666666666667
Expl,-0.020000000000000018,-0.08666666666666667,0.013333333333333308,-0.06000000000000005,-0.10333333333333328,0.0,0.01333333333333342
IdSnippets,-0.033333333333333215,-0.10000000000000009,-0.0,-0.07333333333333325,-0.1166666666666667,-0.01333333333333342,0.0
