,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,-0.030688888888888766,0.0747888888888888,0.038522222222222346,-0.040511111111111164,0.13455555555555554,0.020122222222222153
AllField,0.030688888888888766,0.0,0.11268888888888906,0.07553333333333345,-0.010044444444444522,0.17733333333333334,0.05193333333333339
Baseline,-0.0747888888888888,-0.11268888888888906,0.0,-0.04468888888888889,-0.12400000000000011,0.05126666666666657,-0.050966666666666605
ExpId,-0.038522222222222346,-0.07553333333333345,0.04468888888888889,0.0,-0.08691111111111116,0.10275555555555549,-0.013855555555555621
ExpIdSnippets,0.040511111111111164,0.010044444444444522,0.12400000000000011,0.08691111111111116,0.0,0.18999999999999995,0.061900000000000066
Expl,-0.13455555555555554,-0.17733333333333334,-0.05126666666666657,-0.10275555555555549,-0.18999999999999995,0.0,-0.1066555555555555
IdSnippets,-0.020122222222222153,-0.05193333333333339,0.050966666666666605,0.013855555555555621,-0.061900000000000066,0.1066555555555555,0.0
