A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,IdSnippets,Hit,300,0.7566666666666667,0.64,0.1166666666666667,,3.0081996027065376e-06,0.1166666666666667,negligible,9,44,-35,-0.660377358490566,0.20454545454545456
ExpIdSnippets,Expl,Hit,300,0.7566666666666667,0.6533333333333333,0.10333333333333339,,7.744216431044088e-06,0.10333333333333328,negligible,7,38,-31,-0.6888888888888889,0.18421052631578946
Baseline,ExpIdSnippets,Hit,300,0.64,0.7566666666666667,-0.1166666666666667,,1.3413164157049882e-05,-0.1166666666666667,negligible,48,13,35,0.5737704918032787,3.6923076923076925
AllField,IdSnippets,Hit,300,0.74,0.64,0.09999999999999998,,7.93349872027536e-05,0.10000000000000009,negligible,12,42,-30,-0.5555555555555556,0.2857142857142857
ExpId,Expl,Hit,300,0.7133333333333334,0.6533333333333333,0.06000000000000005,,0.00014392985649715713,0.06000000000000005,negligible,1,19,-18,-0.9,0.05263157894736842
AllField,Expl,Hit,300,0.74,0.6533333333333333,0.08666666666666667,,0.00022776260245036984,0.08666666666666667,negligible,10,36,-26,-0.5652173913043478,0.2777777777777778
AllField,Baseline,Hit,300,0.74,0.64,0.09999999999999998,,0.00023050182794642757,0.10000000000000009,negligible,16,46,-30,-0.4838709677419355,0.34782608695652173
AllCode,ExpIdSnippets,Hit,300,0.6733333333333333,0.7566666666666667,-0.08333333333333337,,0.0007775304469403848,-0.08333333333333326,negligible,38,13,25,0.49019607843137253,2.923076923076923
AllCode,AllField,Hit,300,0.6733333333333333,0.74,-0.06666666666666665,,0.007209570764742524,-0.06666666666666665,negligible,35,15,20,0.4,2.3333333333333335
Baseline,ExpId,Hit,300,0.64,0.7133333333333334,-0.07333333333333336,,0.01332832878081758,-0.07333333333333336,negligible,47,25,22,0.3055555555555556,1.88
ExpId,IdSnippets,Hit,300,0.7133333333333334,0.64,0.07333333333333336,,0.01741713028689996,0.07333333333333325,negligible,28,50,-22,-0.28205128205128205,0.56
ExpId,ExpIdSnippets,Hit,300,0.7133333333333334,0.7566666666666667,-0.043333333333333335,,0.020921335337794035,-0.043333333333333335,negligible,20,7,13,0.48148148148148145,2.857142857142857
AllCode,IdSnippets,Hit,300,0.6733333333333333,0.64,0.033333333333333326,,0.024448945310089332,0.033333333333333215,negligible,3,13,-10,-0.625,0.23076923076923078
AllField,ExpId,Hit,300,0.74,0.7133333333333334,0.026666666666666616,,0.1858767323658721,0.02666666666666684,negligible,10,18,-8,-0.2857142857142857,0.5555555555555556
AllCode,ExpId,Hit,300,0.6733333333333333,0.7133333333333334,-0.040000000000000036,,0.20099425588307612,-0.040000000000000036,negligible,43,31,12,0.16216216216216217,1.3870967741935485
AllField,ExpIdSnippets,Hit,300,0.74,0.7566666666666667,-0.01666666666666672,,0.2672574931543847,-0.016666666666666607,negligible,9,4,5,0.38461538461538464,2.25
AllCode,Baseline,Hit,300,0.6733333333333333,0.64,0.033333333333333326,,0.3143046604738511,0.033333333333333215,negligible,35,45,-10,-0.125,0.7777777777777778
AllCode,Expl,Hit,300,0.6733333333333333,0.6533333333333333,0.020000000000000018,,0.5981614526835279,0.020000000000000018,negligible,42,48,-6,-0.06666666666666667,0.875
Baseline,Expl,Hit,300,0.64,0.6533333333333333,-0.013333333333333308,,0.737315677216418,-0.013333333333333308,negligible,42,38,4,0.05,1.105263157894737
Expl,IdSnippets,Hit,300,0.6533333333333333,0.64,0.013333333333333308,,0.7569972106581437,0.01333333333333342,negligible,45,49,-4,-0.0425531914893617,0.9183673469387755
Baseline,IdSnippets,Hit,300,0.64,0.64,0.0,,0.910979292510634,0.0,negligible,40,40,0,0.0,1.0
