A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,IdSnippets,Hit,300,0.8533333333333334,0.7333333333333333,0.1200000000000001,,7.430983723414125e-07,0.1200000000000001,negligible,7,43,-36,-0.72,0.16279069767441862
AllField,Expl,Hit,300,0.8533333333333334,0.7533333333333333,0.10000000000000009,,1.3426569116181885e-06,0.10000000000000009,negligible,3,33,-30,-0.8333333333333334,0.09090909090909091
AllField,IdSnippets,Hit,300,0.8533333333333334,0.7333333333333333,0.1200000000000001,,1.9083352345314023e-06,0.1200000000000001,negligible,9,45,-36,-0.6666666666666666,0.2
ExpIdSnippets,Expl,Hit,300,0.8533333333333334,0.7533333333333333,0.10000000000000009,,2.5458715561150116e-06,0.10000000000000009,negligible,4,34,-30,-0.7894736842105263,0.11764705882352941
AllField,Baseline,Hit,300,0.8533333333333334,0.7533333333333333,0.10000000000000009,,1.2316176136528204e-05,0.10000000000000009,negligible,7,37,-30,-0.6818181818181818,0.1891891891891892
Baseline,ExpIdSnippets,Hit,300,0.7533333333333333,0.8533333333333334,-0.10000000000000009,,1.2316176136528204e-05,-0.10000000000000009,negligible,37,7,30,0.6818181818181818,5.285714285714286
AllCode,AllField,Hit,300,0.7533333333333333,0.8533333333333334,-0.10000000000000009,,4.109787809945878e-05,-0.10000000000000009,negligible,40,10,30,0.6,4.0
AllCode,ExpIdSnippets,Hit,300,0.7533333333333333,0.8533333333333334,-0.10000000000000009,,4.109787809945878e-05,-0.10000000000000009,negligible,40,10,30,0.6,4.0
ExpId,Expl,Hit,300,0.8133333333333334,0.7533333333333333,0.06000000000000005,,0.0005202443475902309,0.06000000000000005,negligible,3,21,-18,-0.75,0.14285714285714285
ExpId,IdSnippets,Hit,300,0.8133333333333334,0.7333333333333333,0.08000000000000007,,0.00404027497989201,0.08000000000000007,negligible,20,44,-24,-0.375,0.45454545454545453
ExpId,ExpIdSnippets,Hit,300,0.8133333333333334,0.8533333333333334,-0.040000000000000036,,0.005959526470109121,-0.040000000000000036,negligible,14,2,12,0.75,7.0
AllField,ExpId,Hit,300,0.8533333333333334,0.8133333333333334,0.040000000000000036,,0.009521891184098848,0.040000000000000036,negligible,3,15,-12,-0.6666666666666666,0.2
Baseline,ExpId,Hit,300,0.7533333333333333,0.8133333333333334,-0.06000000000000005,,0.012192848613661062,-0.06000000000000005,negligible,32,14,18,0.391304347826087,2.2857142857142856
AllCode,ExpId,Hit,300,0.7533333333333333,0.8133333333333334,-0.06000000000000005,,0.033586612896897745,-0.06000000000000005,negligible,41,23,18,0.28125,1.7826086956521738
AllCode,IdSnippets,Hit,300,0.7533333333333333,0.7333333333333333,0.020000000000000018,,0.14891467317876161,0.020000000000000018,negligible,3,9,-6,-0.5,0.3333333333333333
Baseline,IdSnippets,Hit,300,0.7533333333333333,0.7333333333333333,0.020000000000000018,,0.544289624429402,0.020000000000000018,negligible,31,37,-6,-0.08823529411764706,0.8378378378378378
Expl,IdSnippets,Hit,300,0.7533333333333333,0.7333333333333333,0.020000000000000018,,0.5897737906589077,0.020000000000000018,negligible,40,46,-6,-0.06976744186046512,0.8695652173913043
AllField,ExpIdSnippets,Hit,300,0.8533333333333334,0.8533333333333334,0.0,,0.6170750774519739,0.0,negligible,2,2,0,0.0,1.0
Baseline,Expl,Hit,300,0.7533333333333333,0.7533333333333333,0.0,,0.8955329031670437,0.0,negligible,29,29,0,0.0,1.0
AllCode,Baseline,Hit,300,0.7533333333333333,0.7533333333333333,0.0,,0.8989402980321263,0.0,negligible,31,31,0,0.0,1.0
AllCode,Expl,Hit,300,0.7533333333333333,0.7533333333333333,0.0,,0.9131160800723743,0.0,negligible,42,42,0,0.0,1.0
