A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
Explanation,Full,Hit,150,0.3,0.44666666666666666,-0.14666666666666667,,0.00012604645012081404,-0.14666666666666672,negligible,26,4,22,0.7333333333333333,6.5
ExplIdCode,Explanation,Hit,150,0.44,0.3,0.14,,0.00020408400998040763,0.14000000000000012,negligible,4,25,-21,-0.7241379310344828,0.16
Explanation,IdCodeStackErr,Hit,150,0.3,0.44,-0.14,,0.0028691127920766136,-0.1399999999999999,negligible,33,12,21,0.4666666666666667,2.75
Explanation,IdCode,Hit,150,0.3,0.44666666666666666,-0.14666666666666667,,0.00358920304256839,-0.14666666666666672,negligible,37,15,22,0.4230769230769231,2.466666666666667
Base,Full,Hit,150,0.32,0.44666666666666666,-0.12666666666666665,,0.003947751856903456,-0.1266666666666667,negligible,29,10,19,0.48717948717948717,2.9
Base,ExplIdCode,Hit,150,0.32,0.44,-0.12,,0.007189517250165051,-0.1200000000000001,negligible,29,11,18,0.45,2.6363636363636362
Base,IdCode,Hit,150,0.32,0.44666666666666666,-0.12666666666666665,,0.011718685599768628,-0.1266666666666667,negligible,35,16,19,0.37254901960784315,2.1875
Base,IdCodeStackErr,Hit,150,0.32,0.44,-0.12,,0.016209541409225446,-0.1200000000000001,negligible,34,16,18,0.36,2.125
Base,Explanation,Hit,150,0.32,0.3,0.020000000000000018,,0.7547764265871045,0.020000000000000018,negligible,19,22,-3,-0.07317073170731707,0.8636363636363636
ExplIdCode,IdCodeStackErr,Hit,150,0.44,0.44,0.0,,0.8382564863858263,0.0,negligible,12,12,0,0.0,1.0
Full,IdCode,Hit,150,0.44666666666666666,0.44666666666666666,0.0,,0.8551321405847059,0.0,negligible,15,15,0,0.0,1.0
Full,IdCodeStackErr,Hit,150,0.44666666666666666,0.44,0.006666666666666654,,1.0,0.006666666666666599,negligible,10,11,-1,-0.047619047619047616,0.9090909090909091
IdCode,IdCodeStackErr,Hit,150,0.44666666666666666,0.44,0.006666666666666654,,1.0,0.006666666666666599,negligible,5,6,-1,-0.09090909090909091,0.8333333333333334
ExplIdCode,Full,Hit,150,0.44,0.44666666666666666,-0.006666666666666654,,1.0,-0.00666666666666671,negligible,3,2,1,0.2,1.5
ExplIdCode,IdCode,Hit,150,0.44,0.44666666666666666,-0.006666666666666654,,1.0,-0.00666666666666671,negligible,15,14,1,0.034482758620689655,1.0714285714285714
