,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,4.109787809945878e-05,0.8989402980321263,0.033586612896897745,4.109787809945878e-05,0.9131160800723743,0.14891467317876161
AllField,4.109787809945878e-05,0.0,1.2316176136528204e-05,0.009521891184098848,0.6170750774519739,1.3426569116181885e-06,1.9083352345314023e-06
Baseline,0.8989402980321263,1.2316176136528204e-05,0.0,0.012192848613661062,1.2316176136528204e-05,0.8955329031670437,0.544289624429402
ExpId,0.033586612896897745,0.009521891184098848,0.012192848613661062,0.0,0.005959526470109121,0.0005202443475902309,0.00404027497989201
ExpIdSnippets,4.109787809945878e-05,0.6170750774519739,1.2316176136528204e-05,0.005959526470109121,0.0,2.5458715561150116e-06,7.430983723414125e-07
Expl,0.9131160800723743,1.3426569116181885e-06,0.8955329031670437,0.0005202443475902309,2.5458715561150116e-06,0.0,0.5897737906589077
IdSnippets,0.14891467317876161,1.9083352345314023e-06,0.544289624429402,0.00404027497989201,7.430983723414125e-07,0.5897737906589077,0.0
