,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,0.8897069355331011,0.02685669550752441,0.028567681801513038,1.0,2.4167846390441103e-06,1.0
AllField,0.8897069355331011,0.0,0.005825677828368395,0.0024367348089890124,1.0,9.06836065339057e-10,1.0
Baseline,0.02685669550752441,0.005825677828368395,0.0,0.9086766781799486,0.006357215082587968,0.0022345392261445235,0.03400640286438695
ExpId,0.028567681801513038,0.0024367348089890124,0.9086766781799486,0.0,0.0013318368153214166,1.8152814274403543e-06,0.03808828420629209
ExpIdSnippets,1.0,1.0,0.006357215082587968,0.0013318368153214166,0.0,2.987848011318003e-10,0.8936946693232326
Expl,2.4167846390441103e-06,9.06836065339057e-10,0.0022345392261445235,1.8152814274403543e-06,2.987848011318003e-10,0.0,2.8089040436829e-06
IdSnippets,1.0,1.0,0.03400640286438695,0.03808828420629209,0.8936946693232326,2.8089040436829e-06,0.0
