A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,Expl,MAP,300,0.4766666666666667,0.30666666666666664,0.17000000000000004,52650.0,2.0294929527387362e-05,0.16999999999999993,small,,,,,
AllCode,Expl,MAP,300,0.47333333333333333,0.30666666666666664,0.16666666666666669,52500.0,2.8991267028276177e-05,0.16666666666666674,small,,,,,
AllField,Expl,MAP,300,0.47333333333333333,0.30666666666666664,0.16666666666666669,52500.0,2.8991267028276177e-05,0.16666666666666674,small,,,,,
Expl,IdSnippets,MAP,300,0.30666666666666664,0.47,-0.16333333333333333,37650.0,4.1171816069172805e-05,-0.16333333333333333,small,,,,,
Baseline,Expl,MAP,300,0.4,0.30666666666666664,0.09333333333333338,49200.0,0.01688929572945779,0.09333333333333327,negligible,,,,,
ExpId,Expl,MAP,300,0.4,0.30666666666666664,0.09333333333333338,49200.0,0.01688929572945779,0.09333333333333327,negligible,,,,,
Baseline,ExpIdSnippets,MAP,300,0.4,0.4766666666666667,-0.07666666666666666,41550.0,0.058686005211015725,-0.07666666666666666,negligible,,,,,
ExpId,ExpIdSnippets,MAP,300,0.4,0.4766666666666667,-0.07666666666666666,41550.0,0.058686005211015725,-0.07666666666666666,negligible,,,,,
AllCode,Baseline,MAP,300,0.47333333333333333,0.4,0.0733333333333333,48300.0,0.07043630027694983,0.07333333333333325,negligible,,,,,
AllCode,ExpId,MAP,300,0.47333333333333333,0.4,0.0733333333333333,48300.0,0.07043630027694983,0.07333333333333325,negligible,,,,,
AllField,Baseline,MAP,300,0.47333333333333333,0.4,0.0733333333333333,48300.0,0.07043630027694983,0.07333333333333325,negligible,,,,,
AllField,ExpId,MAP,300,0.47333333333333333,0.4,0.0733333333333333,48300.0,0.07043630027694983,0.07333333333333325,negligible,,,,,
Baseline,IdSnippets,MAP,300,0.4,0.47,-0.06999999999999995,41850.0,0.08405962976511196,-0.07000000000000006,negligible,,,,,
ExpId,IdSnippets,MAP,300,0.4,0.47,-0.06999999999999995,41850.0,0.08405962976511196,-0.07000000000000006,negligible,,,,,
ExpIdSnippets,IdSnippets,MAP,300,0.4766666666666667,0.47,0.00666666666666671,45300.0,0.8704212752481033,0.006666666666666599,negligible,,,,,
AllCode,IdSnippets,MAP,300,0.47333333333333333,0.47,0.003333333333333355,45150.0,0.9350916320869749,0.0033333333333334103,negligible,,,,,
AllField,IdSnippets,MAP,300,0.47333333333333333,0.47,0.003333333333333355,45150.0,0.9350916320869749,0.0033333333333334103,negligible,,,,,
AllCode,ExpIdSnippets,MAP,300,0.47333333333333333,0.4766666666666667,-0.003333333333333355,44850.0,0.9351147214959323,-0.0033333333333332993,negligible,,,,,
AllField,ExpIdSnippets,MAP,300,0.47333333333333333,0.4766666666666667,-0.003333333333333355,44850.0,0.9351147214959323,-0.0033333333333332993,negligible,,,,,
AllCode,AllField,MAP,300,0.47333333333333333,0.47333333333333333,0.0,45000.0,1.0,0.0,negligible,,,,,
Baseline,ExpId,MAP,300,0.4,0.4,0.0,45000.0,1.0,0.0,negligible,,,,,
