,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,0.007189517250165051,0.7547764265871045,0.003947751856903456,0.011718685599768628,0.016209541409225446
ExplIdCode,0.007189517250165051,0.0,0.00020408400998040763,1.0,1.0,0.8382564863858263
Explanation,0.7547764265871045,0.00020408400998040763,0.0,0.00012604645012081404,0.00358920304256839,0.0028691127920766136
Full,0.003947751856903456,1.0,0.00012604645012081404,0.0,0.8551321405847059,1.0
IdCode,0.011718685599768628,1.0,0.00358920304256839,0.8551321405847059,0.0,1.0
IdCodeStackErr,0.016209541409225446,0.8382564863858263,0.0028691127920766136,1.0,1.0,0.0
