,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,1.0,0.07043630027694983,0.07043630027694983,0.9351147214959323,2.8991267028276177e-05,0.9350916320869749
AllField,1.0,0.0,0.07043630027694983,0.07043630027694983,0.9351147214959323,2.8991267028276177e-05,0.9350916320869749
Baseline,0.07043630027694983,0.07043630027694983,0.0,1.0,0.058686005211015725,0.01688929572945779,0.08405962976511196
ExpId,0.07043630027694983,0.07043630027694983,1.0,0.0,0.058686005211015725,0.01688929572945779,0.08405962976511196
ExpIdSnippets,0.9351147214959323,0.9351147214959323,0.058686005211015725,0.058686005211015725,0.0,2.0294929527387362e-05,0.8704212752481033
Expl,2.8991267028276177e-05,2.8991267028276177e-05,0.01688929572945779,0.01688929572945779,2.0294929527387362e-05,0.0,4.1171816069172805e-05
IdSnippets,0.9350916320869749,0.9350916320869749,0.08405962976511196,0.08405962976511196,0.8704212752481033,4.1171816069172805e-05,0.0
