A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExplIdCode,IdCode,Hit,150,0.8133333333333334,0.6866666666666666,0.1266666666666667,,0.0008302254277448876,0.12666666666666648,negligible,5,24,-19,-0.6551724137931034,0.20833333333333334
Full,IdCode,Hit,150,0.8066666666666666,0.6866666666666666,0.12,,0.0019107751373644403,0.1200000000000001,negligible,6,24,-18,-0.6,0.25
Base,ExplIdCode,Hit,150,0.7133333333333334,0.8133333333333334,-0.09999999999999998,,0.005110260660855867,-0.10000000000000009,negligible,20,5,15,0.6,4.0
ExplIdCode,IdCodeStackErr,Hit,150,0.8133333333333334,0.72,0.09333333333333338,,0.007963489206549991,0.09333333333333327,negligible,5,19,-14,-0.5833333333333334,0.2631578947368421
Base,Full,Hit,150,0.7133333333333334,0.8066666666666666,-0.09333333333333327,,0.007963489206549991,-0.09333333333333327,negligible,19,5,14,0.5833333333333334,3.8
Full,IdCodeStackErr,Hit,150,0.8066666666666666,0.72,0.08666666666666667,,0.016395071849192266,0.08666666666666667,negligible,6,19,-13,-0.52,0.3157894736842105
ExplIdCode,Explanation,Hit,150,0.8133333333333334,0.7666666666666667,0.046666666666666634,,0.045500263896358445,0.046666666666666634,negligible,1,8,-7,-0.7777777777777778,0.125
IdCode,IdCodeStackErr,Hit,150,0.6866666666666666,0.72,-0.033333333333333326,,0.07363827012030295,-0.03333333333333344,negligible,5,0,5,1.0,inf
Explanation,IdCode,Hit,150,0.7666666666666667,0.6866666666666666,0.08000000000000007,,0.07435290536856344,0.08000000000000007,negligible,13,25,-12,-0.3157894736842105,0.52
Explanation,Full,Hit,150,0.7666666666666667,0.8066666666666666,-0.039999999999999925,,0.07709987174354178,-0.040000000000000036,negligible,7,1,6,0.75,7.0
Base,Explanation,Hit,150,0.7133333333333334,0.7666666666666667,-0.053333333333333344,,0.1698105050855175,-0.053333333333333344,negligible,17,9,8,0.3076923076923077,1.8888888888888888
Explanation,IdCodeStackErr,Hit,150,0.7666666666666667,0.72,0.046666666666666745,,0.29626987148428335,0.046666666666666634,negligible,13,20,-7,-0.21212121212121213,0.65
Base,IdCode,Hit,150,0.7133333333333334,0.6866666666666666,0.026666666666666727,,0.6264962743469111,0.026666666666666616,negligible,17,21,-4,-0.10526315789473684,0.8095238095238095
ExplIdCode,Full,Hit,150,0.8133333333333334,0.8066666666666666,0.00666666666666671,,1.0,0.006666666666666599,negligible,1,2,-1,-0.3333333333333333,0.5
Base,IdCodeStackErr,Hit,150,0.7133333333333334,0.72,-0.006666666666666599,,1.0,-0.006666666666666599,negligible,18,17,1,0.02857142857142857,1.0588235294117647
