,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,0.007209570764742524,0.3143046604738511,0.20099425588307612,0.0007775304469403848,0.5981614526835279,0.024448945310089332
AllField,0.007209570764742524,0.0,0.00023050182794642757,0.1858767323658721,0.2672574931543847,0.00022776260245036984,7.93349872027536e-05
Baseline,0.3143046604738511,0.00023050182794642757,0.0,0.01332832878081758,1.3413164157049882e-05,0.737315677216418,0.910979292510634
ExpId,0.20099425588307612,0.1858767323658721,0.01332832878081758,0.0,0.020921335337794035,0.00014392985649715713,0.01741713028689996
ExpIdSnippets,0.0007775304469403848,0.2672574931543847,1.3413164157049882e-05,0.020921335337794035,0.0,7.744216431044088e-06,3.0081996027065376e-06
Expl,0.5981614526835279,0.00022776260245036984,0.737315677216418,0.00014392985649715713,7.744216431044088e-06,0.0,0.7569972106581437
IdSnippets,0.024448945310089332,7.93349872027536e-05,0.910979292510634,0.01741713028689996,3.0081996027065376e-06,0.7569972106581437,0.0
