A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
Explanation,IdCode,MAP,150,0.1541825396825397,0.2473167261588314,-0.09313418647629171,9483.5,0.006679261186201903,-0.15702222222222217,small,,,,,
Explanation,Full,MAP,150,0.1541825396825397,0.229203351516045,-0.07502081183350531,9565.5,0.009716757235151011,-0.14973333333333327,small,,,,,
Explanation,IdCodeStackErr,MAP,150,0.1541825396825397,0.23271355155565682,-0.07853101187311712,9604.0,0.011293836464823353,-0.14631111111111106,negligible,,,,,
ExplIdCode,Explanation,MAP,150,0.22998112929382278,0.1541825396825397,0.07579858961128308,12866.5,0.012849434878430752,0.14368888888888898,negligible,,,,,
Base,IdCode,MAP,150,0.15780652611921964,0.2473167261588314,-0.08951020003961177,9675.0,0.016406690756616597,-0.14,negligible,,,,,
Base,Full,MAP,150,0.15780652611921964,0.229203351516045,-0.07139682539682538,9769.5,0.024125390120555628,-0.13159999999999994,negligible,,,,,
Base,IdCodeStackErr,MAP,150,0.15780652611921964,0.23271355155565682,-0.07490702543643718,9800.0,0.02680500349635404,-0.12888888888888883,negligible,,,,,
Base,ExplIdCode,MAP,150,0.15780652611921964,0.22998112929382278,-0.07217460317460314,9835.0,0.030715474952697358,-0.12577777777777777,negligible,,,,,
Base,Explanation,MAP,150,0.15780652611921964,0.1541825396825397,0.003623986436679938,11457.0,0.7370752359004153,0.018399999999999972,negligible,,,,,
ExplIdCode,IdCode,MAP,150,0.22998112929382278,0.2473167261588314,-0.01733559686500863,11064.0,0.7854362681415145,-0.01653333333333329,negligible,,,,,
IdCode,IdCodeStackErr,MAP,150,0.2473167261588314,0.23271355155565682,0.01460317460317459,11388.5,0.8394891122060947,0.012311111111111162,negligible,,,,,
Full,IdCode,MAP,150,0.229203351516045,0.2473167261588314,-0.018113374642786395,11121.5,0.8512702722044658,-0.011422222222222222,negligible,,,,,
ExplIdCode,Full,MAP,150,0.22998112929382278,0.229203351516045,0.0007777777777777661,11189.0,0.9292730406955249,-0.005422222222222217,negligible,,,,,
ExplIdCode,IdCodeStackErr,MAP,150,0.22998112929382278,0.23271355155565682,-0.002732422261834039,11204.0,0.9466722761268542,-0.004088888888888809,negligible,,,,,
Full,IdCodeStackErr,MAP,150,0.229203351516045,0.23271355155565682,-0.003510200039611805,11262.0,0.9865377808163079,0.0010666666666665492,negligible,,,,,
