,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,0.014786339444487552,0.46624574758875814,0.013447664842024759,0.17713445946180006,0.20402382444220457
ExplIdCode,0.014786339444487552,0.0,0.07978575185834898,0.9898538099326091,0.36173456579797847,0.2848629802466017
Explanation,0.46624574758875814,0.07978575185834898,0.0,0.08323685763280637,0.5596052546266957,0.6103153121316269
Full,0.013447664842024759,0.9898538099326091,0.08323685763280637,0.0,0.3869325965066477,0.3141346364964449
IdCode,0.17713445946180006,0.36173456579797847,0.5596052546266957,0.3869325965066477,0.0,0.9687112470572177
IdCodeStackErr,0.20402382444220457,0.2848629802466017,0.6103153121316269,0.3141346364964449,0.9687112470572177,0.0
