A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
Base,Full,MAP,150,0.2501030148157083,0.33717354579258607,-0.08707053097687778,9612.0,0.026542997414148027,-0.14559999999999995,negligible,,,,,
Base,ExplIdCode,MAP,150,0.2501030148157083,0.33866301188205217,-0.08855999706634388,9618.5,0.027306996621722528,-0.14502222222222227,negligible,,,,,
ExplIdCode,Explanation,MAP,150,0.33866301188205217,0.267194705575833,0.07146830630621914,12583.5,0.07147595710961074,0.11853333333333338,negligible,,,,,
Explanation,Full,MAP,150,0.267194705575833,0.33717354579258607,-0.06997884021675305,9930.5,0.07423692436694213,-0.11728888888888889,negligible,,,,,
Base,IdCode,MAP,150,0.2501030148157083,0.33643979184443584,-0.08633677702872755,10187.5,0.14740911987271232,-0.09444444444444444,negligible,,,,,
Base,IdCodeStackErr,MAP,150,0.2501030148157083,0.3176553562183335,-0.06755234140262523,10312.5,0.2018297585745794,-0.08333333333333326,negligible,,,,,
Explanation,IdCode,MAP,150,0.267194705575833,0.33643979184443584,-0.06924508626860282,10501.5,0.3080650214215003,-0.06653333333333333,negligible,,,,,
ExplIdCode,IdCodeStackErr,MAP,150,0.33866301188205217,0.3176553562183335,0.02100765566371865,11884.5,0.3905267516968989,0.056400000000000006,negligible,,,,,
Explanation,IdCodeStackErr,MAP,150,0.267194705575833,0.3176553562183335,-0.05046065064250049,10650.0,0.4146261484796032,-0.05333333333333323,negligible,,,,,
Full,IdCodeStackErr,MAP,150,0.33717354579258607,0.3176553562183335,0.019518189574252554,11837.5,0.42617133251093375,0.05222222222222217,negligible,,,,,
ExplIdCode,IdCode,MAP,150,0.33866301188205217,0.33643979184443584,0.0022232200376163247,11697.5,0.544381145029316,0.03977777777777769,negligible,,,,,
Full,IdCode,MAP,150,0.33717354579258607,0.33643979184443584,0.0007337539481502287,11648.5,0.5890087894717939,0.035422222222222244,negligible,,,,,
Base,Explanation,MAP,150,0.2501030148157083,0.267194705575833,-0.017091690760124734,10937.0,0.6708350582447977,-0.027822222222222193,negligible,,,,,
IdCode,IdCodeStackErr,MAP,150,0.33643979184443584,0.3176553562183335,0.018784435626102325,11376.5,0.8633819699126984,0.01124444444444439,negligible,,,,,
ExplIdCode,Full,MAP,150,0.33866301188205217,0.33717354579258607,0.001489466089466096,11260.5,0.9892410169682918,0.0009333333333334526,negligible,,,,,
