,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,-0.047977777777777675,0.06703333333333328,0.029933333333333367,-0.05273333333333341,0.13148888888888877,0.018855555555555625
AllField,0.047977777777777675,0.0,0.1264333333333334,0.08557777777777775,-0.00615555555555547,0.19514444444444434,0.07057777777777785
Baseline,-0.06703333333333328,-0.1264333333333334,0.0,-0.04747777777777784,-0.13225555555555557,0.05648888888888903,-0.04380000000000006
ExpId,-0.029933333333333367,-0.08557777777777775,0.04747777777777784,0.0,-0.09223333333333328,0.11005555555555557,-0.005233333333333423
ExpIdSnippets,0.05273333333333341,0.00615555555555547,0.13225555555555557,0.09223333333333328,0.0,0.2021666666666666,0.07489999999999997
Expl,-0.13148888888888877,-0.19514444444444434,-0.05648888888888903,-0.11005555555555557,-0.2021666666666666,0.0,-0.10466666666666669
IdSnippets,-0.018855555555555625,-0.07057777777777785,0.04380000000000006,0.005233333333333423,-0.07489999999999997,0.10466666666666669,0.0
