,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,0.027306996621722528,0.6708350582447977,0.026542997414148027,0.14740911987271232,0.2018297585745794
ExplIdCode,0.027306996621722528,0.0,0.07147595710961074,0.9892410169682918,0.544381145029316,0.3905267516968989
Explanation,0.6708350582447977,0.07147595710961074,0.0,0.07423692436694213,0.3080650214215003,0.4146261484796032
Full,0.026542997414148027,0.9892410169682918,0.07423692436694213,0.0,0.5890087894717939,0.42617133251093375
IdCode,0.14740911987271232,0.544381145029316,0.3080650214215003,0.5890087894717939,0.0,0.8633819699126984
IdCodeStackErr,0.2018297585745794,0.3905267516968989,0.4146261484796032,0.42617133251093375,0.8633819699126984,0.0
