,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,-0.14502222222222227,-0.027822222222222193,-0.14559999999999995,-0.09444444444444444,-0.08333333333333326
ExplIdCode,0.14502222222222227,0.0,0.11853333333333338,0.0009333333333334526,0.03977777777777769,0.056400000000000006
Explanation,0.027822222222222193,-0.11853333333333338,0.0,-0.11728888888888889,-0.06653333333333333,-0.05333333333333323
Full,0.14559999999999995,-0.0009333333333334526,0.11728888888888889,0.0,0.035422222222222244,0.05222222222222217
IdCode,0.09444444444444444,-0.03977777777777769,0.06653333333333333,-0.035422222222222244,0.0,0.01124444444444439
IdCodeStackErr,0.08333333333333326,-0.056400000000000006,0.05333333333333323,-0.05222222222222217,-0.01124444444444439,0.0
