,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,0.4849113066752715,0.09015887030466448,0.3857711425238578,0.35675975374430147,0.0026482614276608822,0.644485738118751
AllField,0.4849113066752715,0.0,0.011129823186100724,0.0903824035427362,0.8200872404194341,8.125171830036484e-05,0.2363443975301558
Baseline,0.09015887030466448,0.011129823186100724,0.0,0.3182101632993235,0.005248666881516109,0.25459958855895726,0.246870494655131
ExpId,0.3857711425238578,0.0903824035427362,0.3182101632993235,0.0,0.051456662018331434,0.02323045043099246,0.754714428359978
ExpIdSnippets,0.35675975374430147,0.8200872404194341,0.005248666881516109,0.051456662018331434,0.0,2.4536801470870526e-05,0.15838699111477517
Expl,0.0026482614276608822,8.125171830036484e-05,0.25459958855895726,0.02323045043099246,2.4536801470870526e-05,0.0,0.016900594993918005
IdSnippets,0.644485738118751,0.2363443975301558,0.246870494655131,0.754714428359978,0.15838699111477517,0.016900594993918005,0.0
