,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,0.0,0.07333333333333325,0.07333333333333325,-0.0033333333333332993,0.16666666666666674,0.0033333333333334103
AllField,-0.0,0.0,0.07333333333333325,0.07333333333333325,-0.0033333333333332993,0.16666666666666674,0.0033333333333334103
Baseline,-0.07333333333333325,-0.07333333333333325,0.0,0.0,-0.07666666666666666,0.09333333333333327,-0.07000000000000006
ExpId,-0.07333333333333325,-0.07333333333333325,-0.0,0.0,-0.07666666666666666,0.09333333333333327,-0.07000000000000006
ExpIdSnippets,0.0033333333333332993,0.0033333333333332993,0.07666666666666666,0.07666666666666666,0.0,0.16999999999999993,0.006666666666666599
Expl,-0.16666666666666674,-0.16666666666666674,-0.09333333333333327,-0.09333333333333327,-0.16999999999999993,0.0,-0.16333333333333333
IdSnippets,-0.0033333333333334103,-0.0033333333333334103,0.07000000000000006,0.07000000000000006,-0.006666666666666599,0.16333333333333333,0.0
