,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,-0.1200000000000001,0.020000000000000018,-0.1266666666666667,-0.1266666666666667,-0.1200000000000001
ExplIdCode,0.1200000000000001,0.0,0.14000000000000012,-0.00666666666666671,-0.00666666666666671,0.0
Explanation,-0.020000000000000018,-0.14000000000000012,0.0,-0.14666666666666672,-0.14666666666666672,-0.1399999999999999
Full,0.1266666666666667,0.00666666666666671,0.14666666666666672,0.0,0.0,0.006666666666666599
IdCode,0.1266666666666667,0.00666666666666671,0.14666666666666672,-0.0,0.0,0.006666666666666599
IdCodeStackErr,0.1200000000000001,-0.0,0.1399999999999999,-0.006666666666666599,-0.006666666666666599,0.0
