A,B,metric,n_common,mean_A,mean_B,diff_mean,U,p_raw,cliffs_delta,delta_magnitude,b01_A0_B1,b10_A1_B0,net_gain_B_minus_A,cohens_g_on_discordants,discordant_odds_ratio
ExpIdSnippets,Expl,MAP,300,0.5836666666666667,0.43372222222222223,0.14994444444444444,53550.0,2.4536801470870526e-05,0.18999999999999995,small,,,,,
AllField,Expl,MAP,300,0.5762222222222223,0.43372222222222223,0.14250000000000007,52980.0,8.125171830036484e-05,0.17733333333333334,small,,,,,
AllCode,Expl,MAP,300,0.5541666666666667,0.43372222222222223,0.12044444444444447,51055.0,0.0026482614276608822,0.13455555555555554,negligible,,,,,
Baseline,ExpIdSnippets,MAP,300,0.4882777777777778,0.5836666666666667,-0.09538888888888886,39420.0,0.005248666881516109,-0.12400000000000011,negligible,,,,,
AllField,Baseline,MAP,300,0.5762222222222223,0.4882777777777778,0.08794444444444449,50071.0,0.011129823186100724,0.11268888888888906,negligible,,,,,
Expl,IdSnippets,MAP,300,0.43372222222222223,0.5383333333333333,-0.1046111111111111,40200.5,0.016900594993918005,-0.1066555555555555,negligible,,,,,
ExpId,Expl,MAP,300,0.5152777777777778,0.43372222222222223,0.0815555555555556,49624.0,0.02323045043099246,0.10275555555555549,negligible,,,,,
ExpId,ExpIdSnippets,MAP,300,0.5152777777777778,0.5836666666666667,-0.06838888888888883,41089.0,0.051456662018331434,-0.08691111111111116,negligible,,,,,
AllCode,Baseline,MAP,300,0.5541666666666667,0.4882777777777778,0.06588888888888889,48365.5,0.09015887030466448,0.0747888888888888,negligible,,,,,
AllField,ExpId,MAP,300,0.5762222222222223,0.5152777777777778,0.06094444444444447,48399.0,0.0903824035427362,0.07553333333333345,negligible,,,,,
ExpIdSnippets,IdSnippets,MAP,300,0.5836666666666667,0.5383333333333333,0.04533333333333334,47785.5,0.15838699111477517,0.061900000000000066,negligible,,,,,
AllField,IdSnippets,MAP,300,0.5762222222222223,0.5383333333333333,0.03788888888888897,47337.0,0.2363443975301558,0.05193333333333339,negligible,,,,,
Baseline,IdSnippets,MAP,300,0.4882777777777778,0.5383333333333333,-0.05005555555555552,42706.5,0.246870494655131,-0.050966666666666605,negligible,,,,,
Baseline,Expl,MAP,300,0.4882777777777778,0.43372222222222223,0.05455555555555558,47307.0,0.25459958855895726,0.05126666666666657,negligible,,,,,
Baseline,ExpId,MAP,300,0.4882777777777778,0.5152777777777778,-0.027000000000000024,42989.0,0.3182101632993235,-0.04468888888888889,negligible,,,,,
AllCode,ExpIdSnippets,MAP,300,0.5541666666666667,0.5836666666666667,-0.02949999999999997,43177.0,0.35675975374430147,-0.040511111111111164,negligible,,,,,
AllCode,ExpId,MAP,300,0.5541666666666667,0.5152777777777778,0.03888888888888886,46733.5,0.3857711425238578,0.038522222222222346,negligible,,,,,
AllCode,AllField,MAP,300,0.5541666666666667,0.5762222222222223,-0.022055555555555606,43619.0,0.4849113066752715,-0.030688888888888766,negligible,,,,,
AllCode,IdSnippets,MAP,300,0.5541666666666667,0.5383333333333333,0.015833333333333366,45905.5,0.644485738118751,0.020122222222222153,negligible,,,,,
ExpId,IdSnippets,MAP,300,0.5152777777777778,0.5383333333333333,-0.023055555555555496,44376.5,0.754714428359978,-0.013855555555555621,negligible,,,,,
AllField,ExpIdSnippets,MAP,300,0.5762222222222223,0.5836666666666667,-0.007444444444444365,44548.0,0.8200872404194341,-0.010044444444444522,negligible,,,,,
