,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,0.005110260660855867,0.1698105050855175,0.007963489206549991,0.6264962743469111,1.0
ExplIdCode,0.005110260660855867,0.0,0.045500263896358445,1.0,0.0008302254277448876,0.007963489206549991
Explanation,0.1698105050855175,0.045500263896358445,0.0,0.07709987174354178,0.07435290536856344,0.29626987148428335
Full,0.007963489206549991,1.0,0.07709987174354178,0.0,0.0019107751373644403,0.016395071849192266
IdCode,0.6264962743469111,0.0008302254277448876,0.07435290536856344,0.0019107751373644403,0.0,0.07363827012030295
IdCodeStackErr,1.0,0.007963489206549991,0.29626987148428335,0.016395071849192266,0.07363827012030295,0.0
