,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,-0.07999999999999996,-0.01333333333333342,-0.06666666666666665,0.01333333333333342,0.0
ExplIdCode,0.07999999999999996,0.0,0.06666666666666665,0.01333333333333342,0.09333333333333327,0.08000000000000007
Explanation,0.01333333333333342,-0.06666666666666665,0.0,-0.05333333333333323,0.026666666666666616,0.013333333333333197
Full,0.06666666666666665,-0.01333333333333342,0.05333333333333323,0.0,0.08000000000000007,0.06666666666666665
IdCode,-0.01333333333333342,-0.09333333333333327,-0.026666666666666616,-0.08000000000000007,0.0,-0.013333333333333308
IdCodeStackErr,-0.0,-0.08000000000000007,-0.013333333333333197,-0.06666666666666665,0.013333333333333308,0.0
