,Base,ExplIdCode,Explanation,Full,IdCode,IdCodeStackErr
Base,0.0,-0.12577777777777777,0.018399999999999972,-0.13159999999999994,-0.14,-0.12888888888888883
ExplIdCode,0.12577777777777777,0.0,0.14368888888888898,-0.005422222222222217,-0.01653333333333329,-0.004088888888888809
Explanation,-0.018399999999999972,-0.14368888888888898,0.0,-0.14973333333333327,-0.15702222222222217,-0.14631111111111106
Full,0.13159999999999994,0.005422222222222217,0.14973333333333327,0.0,-0.011422222222222222,0.0010666666666665492
IdCode,0.14,0.01653333333333329,0.15702222222222217,0.011422222222222222,0.0,0.012311111111111162
IdCodeStackErr,0.12888888888888883,0.004088888888888809,0.14631111111111106,-0.0010666666666665492,-0.012311111111111162,0.0
