,AllCode,AllField,Baseline,ExpId,ExpIdSnippets,Expl,IdSnippets
AllCode,0.0,0.27963870283546755,0.13433408540894884,0.5048349832042136,0.23440387575265564,0.0037274766067604964,0.6697184946975014
AllField,0.27963870283546755,0.0,0.0049026031208349195,0.05717912802737214,0.89001965418547,1.7945214984894858e-05,0.11177373182065095
Baseline,0.13433408540894884,0.0049026031208349195,0.0,0.29517947927630295,0.0032343971337540204,0.21655387854763908,0.3277951801683353
ExpId,0.5048349832042136,0.05717912802737214,0.29517947927630295,0.0,0.04026417708919983,0.016263682531790096,0.9073354239362281
ExpIdSnippets,0.23440387575265564,0.89001965418547,0.0032343971337540204,0.04026417708919983,0.0,8.770514537320361e-06,0.09126641227507479
Expl,0.0037274766067604964,1.7945214984894858e-05,0.21655387854763908,0.016263682531790096,8.770514537320361e-06,0.0,0.020913686169970285
IdSnippets,0.6697184946975014,0.11177373182065095,0.3277951801683353,0.9073354239362281,0.09126641227507479,0.020913686169970285,0.0
